{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242500017 242500260,B,4,B 4,Budapester Straße,2,111,1,703.0,,0,,"LINESTRING (9.967307 53.551990,9.967160 53.552089,9.966951 53.552236,9.966537 53.552549,9.966211 53.552813,9.965875 53.553099,9.965779 53.553189,9.965607 53.553345,9.965500 53.553442,9.965335 53.553613,9.965221 53.553740,9.965031 53.554003,9.964932 53.554166,9.964871 53.554292,9.964823 53.554395,9.964699 53.554762,9.964655 53.554939,9.964610 53.555190,9.964572 53.555388,9.964536 53.555554,9.964374 53.556191,9.964373 53.556195)",EPSG:4326
242500017 242500260,B,4,B 4,Budapester Straße,2,109,1,703.0,,0,,"LINESTRING (9.964373 53.556195,9.964339 53.556309,9.964288 53.556460)",EPSG:4326
242500006 232500069,B,433,B 433,Tarpenbekstraße,2,405,4,1268.0,,0,,"LINESTRING (9.983933 53.596417,9.983934 53.596471,9.983930 53.596650,9.983929 53.596687)",EPSG:4326
242600258 242600109,B,4,B 4,Amsinckstraße,2,115,1,707.0,,0,,"LINESTRING (10.016101 53.545527,10.016059 53.545550,10.015932 53.545629,10.015844 53.545690,10.015759 53.545755,10.015685 53.545816,10.015573 53.545919,10.015470 53.546029,10.015401 53.546106,10.015355 53.546162,10.015154 53.546421,10.014949 53.546679,10.014887 53.546758,10.014798 53.546858,10.014686 53.546968,10.014621 53.547021,10.014508 53.547102,10.014418 53.547160,10.014256 53.547252,10.014105 53.547326,10.013971 53.547381,10.013860 53.547422,10.013710 53.547470,10.013637 53.547489,10.013483 53.547525,10.013213 53.547586,10.013021 53.547629,10.012690 53.547701,10.012577 53.547725,10.012159 53.547822,10.012060 53.547846)",EPSG:4326
242600258 242600109,B,4,B 4,Amsinckstraße,2,115,1,707.0,,0,,"LINESTRING (10.012060 53.547846,10.011860 53.547896,10.011801 53.547903,10.011728 53.547908,10.011640 53.547907,10.011509 53.547900,10.011368 53.547891,10.011247 53.547883,10.010919 53.547856,10.010650 53.547833,10.010506 53.547821,10.010226 53.547801,10.009979 53.547787,10.009832 53.547782,10.009718 53.547779,10.009603 53.547778,10.009417 53.547779,10.009194 53.547782,10.008840 53.547788,10.008282 53.547799,10.007787 53.547807,10.007679 53.547809,10.007306 53.547818)",EPSG:4326
242600291 242600299,B,4,B 4,Amsinckstraße,2,115,1,1364.0,,0,,"LINESTRING (10.024899 53.542822,10.024856 53.542831,10.023872 53.543039,10.023218 53.543173,10.023124 53.543198)",EPSG:4326
242600291 242600299,B,4,B 4,Amsinckstraße,2,115,1,1364.0,,0,,"LINESTRING (10.023124 53.543198,10.022974 53.543237,10.022661 53.543327,10.022417 53.543399,10.022104 53.543501)",EPSG:4326
242600291 242600299,B,4,B 4,Amsinckstraße,2,115,1,1364.0,,0,,"LINESTRING (10.022104 53.543501,10.022102 53.543502,10.021865 53.543598,10.021052 53.543890,10.020414 53.544117,10.019783 53.544342,10.019180 53.544554,10.018291 53.544873,10.017876 53.545014,10.017668 53.545079)",EPSG:4326
242600291 242600299,B,4,B 4,Amsinckstraße,2,115,1,1364.0,,0,,"LINESTRING (10.017668 53.545079,10.017601 53.545099,10.017236 53.545228,10.017112 53.545273,10.016976 53.545324,10.016951 53.545334)",EPSG:4326
242600291 242600299,B,4,B 4,Amsinckstraße,2,115,1,1364.0,,0,,"LINESTRING (10.016951 53.545334,10.016674 53.545456,10.016456 53.545565,10.016290 53.545664,10.016133 53.545759,10.015983 53.545859,10.015877 53.545943,10.015785 53.546026,10.015690 53.546128,10.015314 53.546601,10.015107 53.546860,10.015002 53.546981,10.014828 53.547125,10.014696 53.547222,10.014518 53.547332,10.014354 53.547417,10.014163 53.547498,10.014013 53.547561,10.013798 53.547632,10.013492 53.547708,10.013245 53.547759,10.012846 53.547843,10.012552 53.547919,10.012351 53.547970,10.012209 53.547997,10.012100 53.548008)",EPSG:4326
242600291 242600299,B,4,B 4,Amsinckstraße,2,115,1,1364.0,,0,,"LINESTRING (10.012100 53.548008,10.012090 53.548009,10.011889 53.548014,10.011736 53.548021,10.011652 53.548023,10.011599 53.548022,10.011509 53.548018,10.011419 53.548013,10.011251 53.548002,10.010933 53.547981,10.010615 53.547960,10.010321 53.547943,10.010152 53.547935,10.009950 53.547927,10.009702 53.547920,10.009518 53.547917,10.009338 53.547917,10.009040 53.547921,10.008462 53.547933,10.008111 53.547939,10.007703 53.547947,10.007332 53.547953,10.007307 53.547954)",EPSG:4326
242600257 242600066,B,4,B 4,Amsinckstraße,2,132,1,552.0,,0,,"LINESTRING (10.031954 53.540152,10.031934 53.540194,10.031903 53.540246,10.031861 53.540291,10.031806 53.540345,10.031723 53.540417,10.031666 53.540457,10.031596 53.540501,10.031485 53.540563,10.031336 53.540637,10.031065 53.540757,10.030939 53.540812,10.030549 53.540979,10.030000 53.541214,10.029697 53.541343)",EPSG:4326
242600257 242600066,B,4,B 4,Amsinckstraße,2,115,1,552.0,,0,,"LINESTRING (10.029697 53.541343,10.029695 53.541344,10.029347 53.541492,10.029062 53.541609,10.028911 53.541668,10.028597 53.541781,10.028412 53.541842,10.028161 53.541921,10.027940 53.541986,10.027761 53.542034,10.027508 53.542098,10.027255 53.542158,10.026961 53.542222,10.026778 53.542259,10.026030 53.542415,10.025323 53.542559,10.024940 53.542652)",EPSG:4326
