{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600001 252600102,A,1,A 1,BAB A1,2,136,1,3524.0,,0,E22,"LINESTRING (10.036073 53.496496,10.035851 53.496231)",EPSG:4326
242600001 252600102,A,1,A 1,BAB A1,2,136,1,3524.0,,0,E22,"LINESTRING (10.035851 53.496231,10.034056 53.494082,10.030603 53.489923,10.028621 53.487556,10.028179 53.487023)",EPSG:4326
242600001 252600102,A,1,A 1,BAB A1,2,136,1,3524.0,,0,E22,"LINESTRING (10.028179 53.487023,10.024259 53.482286,10.023593 53.481431,10.023363 53.481083,10.023120 53.480648,10.022906 53.480161,10.022801 53.479885,10.022703 53.479615,10.022620 53.479384)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,140,1,3804.0,,0,E45,"LINESTRING (9.917757 53.515306,9.917227 53.514848,9.917192 53.514817)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,713,7,3804.0,,0,E45,"LINESTRING (9.917192 53.514817,9.916321 53.514051,9.915823 53.513575,9.915196 53.512933,9.914868 53.512572,9.914509 53.512181,9.914164 53.511733,9.913857 53.511346,9.913567 53.510892,9.913223 53.510348,9.913036 53.509998,9.912878 53.509670)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,713,7,3804.0,,0,E45,"LINESTRING (9.912878 53.509670,9.912830 53.509570,9.912777 53.509447,9.912628 53.509072,9.912467 53.508665,9.912351 53.508246,9.912265 53.507878,9.912219 53.507570,9.912117 53.506953,9.912104 53.506353,9.912114 53.505773,9.912148 53.504995,9.912298 53.503840,9.912474 53.502873,9.912635 53.501984,9.912973 53.500260)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,712,7,3804.0,,0,E45,"LINESTRING (9.912973 53.500260,9.913044 53.499900,9.913191 53.499017)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,712,7,3804.0,,0,E45,"LINESTRING (9.913191 53.499017,9.913340 53.498132,9.913533 53.496878,9.913560 53.496572)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,712,7,3804.0,,0,E45,"LINESTRING (9.913560 53.496572,9.913651 53.495565,9.913724 53.494655,9.913815 53.491975,9.913868 53.487087)",EPSG:4326
242500007 252500142,A,7,A 7,BAB A7,2,712,7,3804.0,,0,E45,"LINESTRING (9.913868 53.487087,9.913874 53.486522,9.913955 53.484901,9.914012 53.484026,9.914095 53.483275,9.914226 53.482374,9.914274 53.481997,9.914283 53.481933)",EPSG:4326
