{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
252500104 252500105,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,876.0,,0,,"LINESTRING (9.993500 53.453693,9.993533 53.453707,9.993927 53.453888,9.994213 53.454035,9.994546 53.454216,9.994898 53.454415,9.995225 53.454626,9.995532 53.454837,9.995962 53.455155,9.996253 53.455393,9.996509 53.455628,9.996822 53.455938,9.997005 53.456134,9.997183 53.456345,9.997390 53.456633)",EPSG:4326
252500108 252500100,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,886.0,,0,,"LINESTRING (9.998047 53.463738,9.997921 53.464065,9.997762 53.464459,9.997521 53.464968,9.997495 53.465034,9.997382 53.465257,9.997250 53.465507,9.996939 53.466035,9.996601 53.466557,9.996322 53.466949,9.996023 53.467364,9.995642 53.467862)",EPSG:4326
252500108 252500100,B,75,B 75,BAB A253 abgestuft zur B 75,2,702,7,886.0,,0,,"LINESTRING (9.995642 53.467862,9.995205 53.468433,9.994987 53.468761,9.994868 53.468957,9.994765 53.469154,9.994677 53.469355,9.994594 53.469576,9.994546 53.469784,9.994506 53.469992,9.994488 53.470205,9.994507 53.470468,9.994544 53.470663,9.994583 53.470835,9.994627 53.470987,9.994710 53.471196,9.994773 53.471307,9.994775 53.471312)",EPSG:4326
252500105R 252500105S,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,104.0,,0,,"LINESTRING (9.995398 53.457090,9.995658 53.457021,9.996403 53.456822,9.996471 53.456802,9.996513 53.456788,9.996549 53.456768,9.996575 53.456751,9.996607 53.456720,9.996638 53.456672,9.996649 53.456643,9.996656 53.456607)",EPSG:4326
252500105E 252500105F,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,93.0,,0,,"LINESTRING (9.997397 53.457620,9.997284 53.457489,9.996991 53.457095,9.996941 53.457057,9.996888 53.457031,9.996818 53.457009,9.996741 53.456989,9.996629 53.456971)",EPSG:4326
252500105T 252500105U,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,119.0,,0,,"LINESTRING (9.997799 53.456387,9.998489 53.456103,9.998546 53.456072,9.998603 53.456028,9.998630 53.455997,9.998647 53.455969,9.998662 53.455936,9.998674 53.455892,9.998675 53.455859,9.998666 53.455821,9.998646 53.455785,9.998618 53.455752,9.998449 53.455602)",EPSG:4326
252500105 252500108,B,75,B 75,BAB A253 abgestuft zur B 75,2,703,7,802.0,,0,,"LINESTRING (9.997390 53.456633,9.997466 53.456731,9.997539 53.456842,9.997604 53.456934,9.997732 53.457145,9.997807 53.457285,9.997897 53.457468,9.997987 53.457672,9.998068 53.457867,9.998168 53.458172,9.998246 53.458420,9.998328 53.458773,9.998383 53.459025,9.998432 53.459283,9.998481 53.459666,9.998528 53.460268,9.998535 53.460485,9.998542 53.460855,9.998522 53.461301,9.998487 53.461589,9.998480 53.461715)",EPSG:4326
252500105 252500108,B,75,B 75,BAB A253 abgestuft zur B 75,2,701,7,802.0,,0,,"LINESTRING (9.998480 53.461715,9.998476 53.461794,9.998440 53.462061,9.998344 53.462594,9.998245 53.463038,9.998185 53.463263,9.998047 53.463738)",EPSG:4326
252500104K 252500104L,B,75,B 75,BAB A253 abgestuft zur B 75,2,705,7,451.0,,0,,"LINESTRING (9.987614 53.451346,9.987728 53.451423,9.987814 53.451464,9.987985 53.451526)",EPSG:4326
252500104K 252500104L,B,75,B 75,BAB A253 abgestuft zur B 75,2,705,7,451.0,,0,,"LINESTRING (9.987985 53.451526,9.989956 53.452242)",EPSG:4326
252500104K 252500104L,B,75,B 75,BAB A253 abgestuft zur B 75,2,705,7,451.0,,0,,"LINESTRING (9.989956 53.452242,9.991063 53.452644,9.991513 53.452806,9.991956 53.452964)",EPSG:4326
