{http://www.deegree.org/app}abs,{http://www.deegree.org/app}strassenart,{http://www.deegree.org/app}strassennummer,{http://www.deegree.org/app}strasse,{http://www.deegree.org/app}strassenname,{http://www.deegree.org/app}landesschluessel,{http://www.deegree.org/app}gemeindeschluessel,{http://www.deegree.org/app}kreisschluessel,{http://www.deegree.org/app}abschnittslaenge,{http://www.deegree.org/app}laengenherkunft,{http://www.deegree.org/app}ast,{http://www.deegree.org/app}europastrasse,{http://www.deegree.org/app}geom,CRS
242600012C 242600012D,A,1,A 1,BAB A1,2,612,6,741.0,,0,,"LINESTRING (10.090213 53.510137,10.090248 53.510059,10.090293 53.509927,10.090330 53.509790,10.090351 53.509674,10.090394 53.509362,10.090401 53.509240,10.090398 53.509149,10.090388 53.509022,10.090356 53.508909,10.090347 53.508887)",EPSG:4326
242600012C 242600012D,A,1,A 1,BAB A1,2,612,6,741.0,,0,,"LINESTRING (10.090347 53.508887,10.090324 53.508830,10.090281 53.508754,10.090229 53.508679,10.090168 53.508606,10.090099 53.508538,10.090021 53.508471,10.089935 53.508409,10.089842 53.508351,10.089740 53.508297,10.089631 53.508248,10.089518 53.508203,10.089400 53.508163,10.089278 53.508128,10.089153 53.508097,10.089027 53.508068,10.088904 53.508040,10.088248 53.507918,10.087938 53.507867,10.087575 53.507814,10.087264 53.507771,10.086703 53.507698,10.086397 53.507678,10.086380 53.507675)",EPSG:4326
242600012C 242600012D,A,1,A 1,BAB A1,2,612,6,741.0,,0,,"LINESTRING (10.086380 53.507675,10.086304 53.507666,10.085982 53.507629,10.085950 53.507626)",EPSG:4326
242600012C 242600012D,A,1,A 1,BAB A1,2,612,6,741.0,,0,,"LINESTRING (10.085950 53.507626,10.085434 53.507585,10.084939 53.507552,10.084042 53.507501)",EPSG:4326
252700004 252700005,A,25,A 25,BAB A25,2,610,6,1965.0,,0,,"LINESTRING (10.176591 53.473741,10.178459 53.473480,10.180675 53.473206,10.183869 53.472882,10.184105 53.472863,10.185156 53.472780,10.186589 53.472711,10.187711 53.472683,10.188874 53.472678,10.189756 53.472697,10.190696 53.472739,10.191452 53.472786,10.192289 53.472850,10.193133 53.472938,10.193560 53.472987)",EPSG:4326
252700004 252700005,A,25,A 25,BAB A25,2,602,6,1965.0,,0,,"LINESTRING (10.193560 53.472987,10.194040 53.473042,10.194844 53.473158,10.195492 53.473261,10.196482 53.473430,10.197622 53.473646,10.198636 53.473848,10.199381 53.474009)",EPSG:4326
252700004 252700005,A,25,A 25,BAB A25,2,604,6,1965.0,,0,,"LINESTRING (10.199381 53.474009,10.199476 53.474029,10.200410 53.474233,10.202659 53.474736,10.203714 53.474966,10.205445 53.475323)",EPSG:4326
242600007R 242600007S,A,1,A 1,BAB A1,2,130,1,1446.0,,0,,"LINESTRING (10.124117 53.529225,10.124623 53.529017,10.124797 53.528951,10.124986 53.528881,10.125155 53.528822,10.125482 53.528725,10.125804 53.528643,10.126024 53.528593,10.126302 53.528535,10.126673 53.528467,10.127092 53.528401,10.127177 53.528386)",EPSG:4326
242600007R 242600007S,A,1,A 1,BAB A1,2,130,1,1446.0,,0,,"LINESTRING (10.127177 53.528386,10.127537 53.528322,10.128189 53.528200,10.128546 53.528132)",EPSG:4326
242600007R 242600007S,A,1,A 1,BAB A1,2,130,1,1446.0,,0,,"LINESTRING (10.128546 53.528132,10.128738 53.528095,10.129052 53.528032,10.129466 53.527925,10.129823 53.527818,10.130080 53.527721,10.130311 53.527622,10.130500 53.527532,10.130696 53.527425,10.131292 53.527091,10.131564 53.526963,10.131763 53.526895,10.132062 53.526821,10.132241 53.526792,10.132398 53.526775,10.132554 53.526770,10.132700 53.526772,10.132847 53.526776,10.132998 53.526788,10.133206 53.526816,10.133418 53.526865,10.133631 53.526924,10.133872 53.527025,10.133993 53.527092,10.134032 53.527117)",EPSG:4326
